ID,TIPO,RAZON,ACTIVATION_CHANNEL,AGEING,BUSINESS_UNIT,TECHNOLOGY,DEVICE_TECHNOLOGY,DATA_USR,DATA_USR_M-1,DATA_USR_M-2,DATA_USR_M-3,DEVICE_TYPE,REGIONAL,DEPARTMENT,CITY,OPENING,GROSS,RECONNECTION,QTY_RCHG,QTY_RCHG_M-1,QTY_RCHG_M-2,QTY_RCHG_M-3,AMNT_RCHG,AMNT_RCHG_M-1,AMNT_RCHG_M-2,AMNT_RCHG_M-3,REV_TOTAL,REV_TOTAL_M-1,REV_TOTAL_M-2,REV_TOTAL_M-3,REV_IN,REV_IN_M-1,REV_IN_M-2,REV_IN_M-3,REV_OUT,REV_OUT_M-1,REV_OUT_M-2,REV_OUT_M-3,ARPU,CALLS_IN,CALLS_IN_M-1,CALLS_IN_M-2,CALLS_IN_M-3,MINUTES_IN,MINUTES_IN_M-1,MINUTES_IN_M-2,MINUTES_IN_M-3,MSG_IN,MSG_IN_M-1,MSG_IN_M-2,MSG_IN_M-3,CALLS_OUT,CALLS_OUT_M-1,CALLS_OUT_M-2,CALLS_OUT_M-3,MINUTES_OUT,MINUTES_OUT_M-1,MINUTES_OUT_M-2,MINUTES_OUT_M-3,MSG_OUT,MSG_OUT_M-1,MSG_OUT_M-2,MSG_OUT_M-3,PCKG_VOICE_FIXNET_M-1,PCKG_VOICE_FIXNET_M-2,PCKG_VOICE_FIXNET_M-3,REV_OUT_COMMUNICATION,REV_OUT_COMMUNICATION_M-1,REV_OUT_COMMUNICATION_M-2,REV_OUT_COMMUNICATION_M-3,REV_OUT_ENTERTAIMENT,REV_OUT_ENTERTAIMENT_M-1,REV_OUT_ENTERTAIMENT_M-2,REV_OUT_ENTERTAIMENT_M-3,REV_OUT_INFORMATION,REV_OUT_INFORMATION_M-1,REV_OUT_INFORMATION_M-2,REV_OUT_INFORMATION_M-3,REV_OUT_SOLUTIONS,REV_OUT_SOLUTIONS_M-1,REV_OUT_SOLUTIONS_M-2,REV_OUT_SOLUTIONS_M-3,CONSUMO_DATOS,CONSUMO_DATOS_M-1,CONSUMO_DATOS_M-2,CONSUMO_DATOS_M-3,CORE,CORE_M-1,CORE_M-2,CORE_M-3,DIAS_INACTIVIDAD,DIAS_INACTIVIDAD_M-1,DIAS_INACTIVIDAD_M-2,DIAS_INACTIVIDAD_M-3,QTY_PQT,PQT_MAS_COMPRADO,qty_pqt_M.1,pqt_mas_comprado_M.1,qty_pqt_M.2,pqt_mas_comprado_M.2,qty_pqt_M.3,pqt_mas_comprado_M.3,CHURN
436101,Base,Base,DISTRIBUIDORES,8.0,MOBILE,3G,2G,Y,Y,Y,Y,FEATURE PHONE,COSTA,LA GUAJIRA,DISTRACCIÓN,Y,N,N,7.0,5,4,3,35500.0,26000.0,25000.0,27000.0,30829.0,21519,24625,30431,2326.0,3458,3716,7351,28503.0,18061,20909,23080,0,116.0,111,141,157,395.2,603.1,661.6,755.2,1.0,0.0,7.0,22.0,141.0,120,157,358,359.5,698.8,364.9,688.3,9.0,16,11,0,0.0,0.0,0.0,6318.0,2759,3052,3491,2773.0,0,0,0,18571.0,15252,17857,19538,840.0,50,0,50,13222044.0,14459389.0,15341016.0,19859969.0,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 1.3 GB + WA + FB 6d -$6000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 3 GB + WA + FB 10d -$10000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 1.3 GB + WA + FB 6d -$6000,3.0,Voz Ilimitada + SMS Ilimitados Allnet + 3 GB + WA + FB 10d -$10000,0
482795,Base,Base,DISTRIBUIDORES,6.0,MOBILE,4G,4G,Y,N,N,N,SMARTPHONE,COSTA,BOLÍVAR,CICUCO,N,Y,N,3.0,0,0,0,10500.0,0.0,0.0,0.0,9383.0,0,0,0,601.0,0,0,0,8782.0,0,0,0,0,1.0,0,0,0,45.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0,0,0,14.7,0.0,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,1282.0,0,0,0,0.0,0,0,0,7500.0,0,0,0,0.0,0,0,0,13672155.0,0.0,0.0,0.0,CORE,NO CORE,NO CORE,NO CORE,143.0,143,113,82,3.0,Voz Ilimitada + SMS Ilimitados Allnet + 350 MB + WA + FB 2d -$3000,,,,,,,0
57288,Base,Base,RETAIL,11.0,MOBILE,4G,4G,Y,Y,Y,Y,SMARTPHONE,ANDINA,BOYACÁ,CHIQUINQUIRÁ,Y,N,N,2.0,1,1,1,19500.0,15000.0,15000.0,15000.0,18263.0,15697,18208,15323,1954.0,3151,5662,2777,16309.0,12546,12546,12546,0,117.0,149,194,145,146.4,226.1,424.8,204.9,1.0,2.0,2.0,6.0,494.0,493,639,497,600.8,571.4,932.1,655.5,7.0,11,4,2,0.0,0.0,0.0,2381.0,1831,1831,1831,0.0,0,0,0,13929.0,10714,10714,10714,0.0,0,0,0,37791106.0,34986163.0,45171302.0,31471153.0,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,2.0,Voz Ilimitada + SMS Ilimitados Allnet + 350 MB + WA + FB 2d -$3000,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,0
205986,Base,Base,DISTRIBUIDORES,17.0,MOBILE,4G,4G,Y,Y,Y,Y,SMARTPHONE,SUR,NARIÑO,SAN ANDRÉS DE TUMACO,Y,N,N,5.0,4,3,4,28000.0,18000.0,15000.0,12000.0,24607.0,15239,12709,10062,1189.0,184,163,26,23418.0,15055,12546,10036,0,48.0,22,12,8,114.7,55.8,29.9,7.7,9.0,9.0,3.0,0.0,143.0,82,81,47,91.9,141.9,168.9,42.7,11.0,25,17,21,0.0,0.0,0.0,3418.0,2198,1831,1465,0.0,0,0,0,20000.0,12857,10714,8571,0.0,0,0,0,7486161.0,6839818.0,2867176.0,1354209.0,CORE,CORE   ,CORE   ,CORE   ,1.0,1,0,1,5.0,Voz Ilimitada + SMS Ilimitados Allnet + 500 MB + WA + FB 5d -$3000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 1.3 GB + WA + FB 6d -$6000,3.0,Voz Ilimitada + SMS Ilimitados Allnet + 1.3 GB + WA + FB 6d -$6000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 1 GB 2d -$3000,0
471313,Base,Base,DISTRIBUIDORES,5.0,MOBILE,4G,4G,Y,N,Y,Y,SMARTPHONE,ANDINA,ANTIOQUIA,MEDELLÍN,Y,N,N,1.0,0,0,2,6500.0,0.0,0.0,4000.0,5437.0,0,522,3464,1.0,0,24,119,5436.0,0,498,3345,0,1.0,0,7,10,0.4,0.0,2.7,12.0,1.0,0.0,1.0,3.0,4.0,0,1,31,1.4,0.0,0.5,29.0,1.0,0,0,5,0.0,0.0,0.0,794.0,0,195,488,0.0,0,0,0,4643.0,0,252,2857,0.0,0,50,0,2601.5,2664.8,30337.0,306511.0,CORE,NO CORE,NO CORE,CORE   ,53.0,53,23,1,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 1.3 GB + WA + FB 6d -$6000,,,,,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 350 MB + WA + FB 2d -$3000,0
226792,Base,Base,FUERZA_VD,67.0,MOBILE,4G,2G,Y,Y,Y,Y,SMARTPHONE,SUR,CALDAS,MANIZALES,Y,N,N,2.0,1,1,1,18000.0,15000.0,15000.0,15000.0,15354.0,15222,14081,15414,1321.0,2676,1535,2868,14033.0,12546,12546,12546,0,23.0,44,19,28,98.8,200.6,114.5,214.7,6.0,0.0,7.0,3.0,89.0,133,113,98,164.7,300.9,154.4,311.9,1.0,0,0,1,0.0,0.0,0.0,2605.0,1831,1831,1831,0.0,0,0,0,11429.0,10714,10714,10714,0.0,0,0,0,3898121.0,4787508.0,3865624.0,4338973.0,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 6 GB + WA + FB 30d -$15000,0
373521,Base,Base,DISTRIBUIDORES,74.0,MOBILE,4G,4G,Y,Y,Y,N,SMARTPHONE,SUR,QUINDÍO,ARMENIA,Y,N,N,4.0,3,2,0,13500.0,9000.0,6000.0,0.0,12277.0,8932,6272,285,986.0,1405,1254,285,11291.0,7527,5018,0,0,48.0,57,86,31,89.3,103.3,93.1,22.0,46.0,6.0,23.0,10.0,65.0,44,32,6,182.4,78.1,16.5,11.8,19.0,16,25,30,0.0,0.0,0.0,1648.0,1099,733,0,0.0,0,0,0,9643.0,6429,4286,0,0.0,0,0,0,2211053.0,1189240.0,5838420.0,83706.2,CORE,CORE   ,CORE   ,NO CORE,0.0,0,0,2,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 500 MB + WA + FB 5d -$3000,3.0,Voz Ilimitada + SMS Ilimitados Allnet + 500 MB + WA + FB 5d -$3000,2.0,Voz Ilimitada + SMS Ilimitados Allnet + 500 MB + WA + FB 5d -$3000,,,0
175978,Base,Base,DISTRIBUIDORES,12.0,MOBILE,4G,2G,Y,Y,Y,Y,SMARTPHONE,ANDINA,ANTIOQUIA,ITUANGO,Y,N,N,2.0,3,3,4,22000.0,30000.0,30000.0,36000.0,18429.0,25197,25649,30253,29.0,106,558,144,18400.0,25091,25091,30109,0,6.0,6,11,8,2.8,12.9,42.0,10.7,1.0,1.0,1.0,1.0,7.0,56,88,51,12.2,139.3,133.8,87.6,1.0,8,0,0,0.0,0.0,0.0,2686.0,3663,3663,4395,0.0,0,0,0,15714.0,21429,21429,25714,0.0,0,0,0,9371742.0,7476048.0,10223628.0,13483940.0,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,2.0,Voz Ilimitada + SMS Ilimitados Allnet + 3 GB + WA + FB 10d -$10000,3.0,Voz Ilimitada + SMS Ilimitados Allnet + 3 GB + WA + FB 10d -$10000,3.0,Voz Ilimitada + SMS Ilimitados Allnet + 3 GB + WA + FB 10d -$10000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 3 GB + WA + FB 10d -$10000,0
86354,Base,Base,DISTRIBUIDORES,50.0,MOBILE,4G,4G,Y,Y,Y,Y,SMARTPHONE,COSTA,CESAR,VALLEDUPAR,Y,N,N,4.0,4,4,4,30000.0,28000.0,28000.0,28000.0,27262.0,24105,24224,24961,2171.0,687,806,1543,25091.0,23418,23418,23418,0,65.0,49,39,57,196.3,69.5,71.5,137.1,0.0,2.0,3.0,2.0,389.0,365,386,432,615.6,430.9,585.3,616.0,25.0,24,19,15,0.0,0.0,0.0,3663.0,3418,3418,3418,0.0,0,0,0,21429.0,20000,20000,20000,0.0,0,0,0,2529623.0,3098427.0,4575659.0,4601651.0,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 2 GB + WA + FB 7d -$7000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 2 GB + WA + FB 7d -$7000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 2 GB + WA + FB 7d -$7000,4.0,Voz Ilimitada + SMS Ilimitados Allnet + 2 GB + WA + FB 7d -$7000,0
231840,Base,Base,DISTRIBUIDORES,2.0,MOBILE,4G,2G,Y,N,N,N,SMARTPHONE,ANDINA,ANTIOQUIA,RIONEGRO,N,Y,N,1.0,0,0,0,5500.0,0.0,0.0,0.0,4600.0,0,0,0,0.0,0,0,0,4600.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,671.0,0,0,0,0.0,0,0,0,3929.0,0,0,0,0.0,0,0,0,2695.5,0.0,0.0,0.0,CORE,NO CORE,NO CORE,NO CORE,8.0,8,0,0,1.0,Voz Ilimitada + SMS Ilimitados Allnet + 2 GB 3d -$5000,,,,,,,0
